time,temperature_2m_max(c),temperature_2m_min(c),temperature_2m_mean,precipitation_sum(mm),rain_sum(mm),snowfall_sum(cm),wind_speed_10m_max(km/h),wind_gusts_10m_max(km/h),wind_direction_10m_dominant
01-01-1981,10.4,0.2,5.7,0,0,0,25.2,42.1,25
02-01-1981,5.8,0.2,2.5,0,0,0,19.2,36,24
03-01-1981,6.9,0.4,3.7,0,0,0,13.3,25.6,30
04-01-1981,8.9,2.7,6.2,0.5,0.5,0,15.4,26.6,17
05-01-1981,6.4,2.9,4.5,9.7,9.7,0,20.6,34.6,10
06-01-1981,3.8,2.3,2.8,7.5,7.5,0,23.1,38.5,6
07-01-1981,4.4,2.5,3.4,2.8,2.3,0.35,18.3,31.3,3
08-01-1981,6.8,2.6,4.8,2.1,2.1,0,15.1,24.5,358
09-01-1981,5.1,4.2,4.6,5.7,5.7,0,13.7,24.1,337
10-01-1981,9,0.5,4.8,0,0,0,17.8,29.9,322
11-01-1981,9.9,-0.9,4,0,0,0,9.3,17.6,240
12-01-1981,11.9,-0.2,5.7,0,0,0,11.3,17.6,209
13-01-1981,13,0.9,6.9,0,0,0,10.7,15.1,175
14-01-1981,14.6,1.6,8.4,0,0,0,21,35.6,159
15-01-1981,9.9,0.9,5.5,0,0,0,26.1,46.1,18
16-01-1981,6.4,0,2.8,0,0,0,21.7,38.5,19
17-01-1981,8.2,0.2,4,0,0,0,10.9,19.4,150
18-01-1981,12.7,1.9,8,0,0,0,18.4,31.3,21
19-01-1981,9.8,4.8,6.5,0,0,0,20.6,35.6,4
20-01-1981,10.6,3.3,6.4,1.9,1.9,0,24.5,40,3
21-01-1981,3.4,2.8,3.1,6,6,0,24.5,40.3,9
22-01-1981,7,3.2,5.8,2.4,2.4,0,17.1,29.9,46
23-01-1981,13.6,4,8.3,8,8,0,22.3,37.8,337
24-01-1981,3.7,1.9,2.8,11.9,11.9,0,25.6,45.4,9
25-01-1981,3.3,-0.1,1.5,6.7,5.5,1.05,26.6,43.9,18
26-01-1981,0.1,-1.2,-0.6,0.1,0,0.42,25.7,45,19
27-01-1981,0.3,-1,-0.4,0,0,0.14,18.9,34.2,10
28-01-1981,1.6,-0.6,1.1,5.4,5.4,0,13.1,23.4,359
29-01-1981,2,1,1.5,3.8,3.8,0,18.8,31.7,360
30-01-1981,3.3,1.1,2.1,11.3,11.3,0,17.7,31,352
31-01-1981,3.2,-1,1.7,5.5,5.5,0,12.6,21.2,332
01-02-1981,7.2,-0.4,3.3,0,0,0,8.7,14.4,2
02-02-1981,7.3,2.5,4.7,2.8,2.8,0,12.6,20.9,350
03-02-1981,8.1,1.2,4.4,0,0,0,20.8,35.6,12
04-02-1981,9.7,1.6,6.4,0,0,0,14.1,25.9,21
05-02-1981,6.1,2.9,4.8,1.9,1.9,0,16,26.3,355
06-02-1981,9.8,1.2,5.5,0,0,0,16.2,27.7,6
07-02-1981,11.1,2,6,0,0,0,7.9,15.8,14
08-02-1981,10.9,2,7.1,0,0,0,8.8,12.2,201
09-02-1981,12.9,3,7.4,0,0,0,10.5,16.6,22
10-02-1981,13,3.7,8.4,0,0,0,10,16.9,345
11-02-1981,14.7,4.6,10.5,5,5,0,14.4,24.8,178
12-02-1981,21.8,10.4,16.6,4.2,4.2,0,20.2,32.8,189
13-02-1981,14.3,8.1,11.5,1.2,1.2,0,15.9,28.1,355
14-02-1981,18.4,8.9,13.9,0,0,0,10.7,20.2,95
