time,temperature_2m_max(c),temperature_2m_min(c),temperature_2m_mean,precipitation_sum(mm),rain_sum(mm),snowfall_sum(cm),wind_speed_10m_max(km/h),wind_gusts_10m_max(km/h),wind_direction_10m_dominant
01-01-1981,-14,-19.6,-16.7,0,0,0,30.6,58.3,354
02-01-1981,-14.6,-22.4,-18.7,0,0,0,23.6,45.7,341
03-01-1981,-14.6,-23.3,-19.7,0,0,0,10.6,20.2,51
04-01-1981,-13.7,-23.3,-19,0,0,0,11.5,16.2,293
05-01-1981,-12.8,-21.9,-17.1,0,0,0,13,22.3,256
06-01-1981,-6,-17.4,-12.1,0,0,0,13.4,26.3,282
07-01-1981,-5.6,-16.1,-11.6,0,0,0,11.8,20.5,208
08-01-1981,-4.4,-14.7,-10.4,0,0,0,13.2,22.3,285
09-01-1981,-6.7,-15.2,-10.7,0,0,0,17.8,33.1,315
10-01-1981,-8.8,-15.3,-12.4,0,0,0,20.7,39.2,304
11-01-1981,-5.1,-15.2,-10.5,0,0,0,22.9,41,326
12-01-1981,-9.6,-19.2,-14.9,0,0,0,16.6,33.1,326
13-01-1981,-11.4,-21.5,-16.8,0,0,0,11.9,22.7,357
14-01-1981,-13.3,-21.9,-18.3,0,0,0,14.3,30.6,18
15-01-1981,-11.7,-21.5,-16.8,0,0,0,13.6,27.4,342
16-01-1981,-9.4,-19.7,-15.3,0,0,0,10.6,21.6,230
17-01-1981,-6.7,-17.9,-12.9,0,0,0,17,30.6,354
18-01-1981,-11.4,-19.2,-15.5,0,0,0,21.7,43.6,337
19-01-1981,-10.2,-19,-15.1,0,0,0,12.1,20.5,302
20-01-1981,-7.5,-17.7,-13.3,0,0,0,16,27,305
21-01-1981,-9.3,-18.9,-14.9,0,0,0,13,26.6,293
22-01-1981,-8.2,-18.6,-12.5,0.8,0,0.63,14,22.7,187
23-01-1981,-3.7,-16.8,-9.9,1.3,0,0.98,19.9,33.1,292
24-01-1981,-10.3,-22.2,-16.7,0,0,0,19.4,33.1,326
25-01-1981,-11,-20.3,-15.9,0,0,0,13.6,21.6,279
26-01-1981,-6.6,-17.7,-13.2,0,0,0,13.7,27.7,277
27-01-1981,-6.7,-17.4,-13.1,0,0,0,13.7,22,217
28-01-1981,-5.3,-17.1,-11.9,0,0,0,11.3,21.6,308
29-01-1981,-7.1,-17.5,-13,0,0,0,10.5,19.4,244
30-01-1981,-5.6,-17.1,-11.5,0,0,0,11.3,22.3,198
31-01-1981,-2.4,-13.7,-7.7,0,0,0,18.5,32,241
01-02-1981,-5.4,-14.1,-10.6,0,0,0,17.1,35.3,247
02-02-1981,-4.3,-14.8,-9.7,0,0,0.14,28.1,52.9,323
03-02-1981,-5.7,-15.9,-11.7,0,0,0,16.4,31.7,282
04-02-1981,-2.4,-15,-8.5,0,0,0,15.9,34.2,191
05-02-1981,-0.9,-14.2,-7.8,0,0,0,18.4,33.5,346
06-02-1981,-6.2,-15.4,-12,0,0,0,16.6,32,317
07-02-1981,0.2,-14.5,-7.5,0,0,0,12,25.2,259
08-02-1981,-1.3,-13.4,-7.8,0,0,0,11.4,21.2,323
09-02-1981,0.7,-11.3,-5.8,0,0,0,22.1,39.6,284
10-02-1981,-1.1,-9.2,-6,0,0,0,25.9,47.5,268
11-02-1981,6.9,-6.7,-1.2,0,0,0,26,47.9,210
12-02-1981,4,-8.7,-3,0,0,0,18.9,37.1,9
13-02-1981,3,-7.1,-1.2,0.2,0,0.21,15.8,28.4,149
14-02-1981,3.5,-4.3,-1.5,0,0,0.07,19.8,33.8,336
15-02-1981,-0.6,-12.3,-6.5,0,0,0,25,48.2,338
16-02-1981,-4.5,-12.8,-9.2,0,0,0,15,31,47
17-02-1981,0.5,-11.2,-4,0,0,0.07,26.1,49,220
18-02-1981,-3.7,-14.4,-8.9,0,0,0,25.2,46.8,321
19-02-1981,-4,-13.1,-7.5,1,0,0.91,9.9,22.7,115
20-02-1981,-3.2,-14.6,-9.1,0,0,0.07,16.5,35.3,300
21-02-1981,-1.7,-12.1,-7.2,0.1,0,0.14,13.4,32.4,72
22-02-1981,-3.3,-15.2,-8.3,0.2,0,0.56,17.6,34.2,4
23-02-1981,-5.8,-15.3,-11.1,0,0,0,18.2,35.6,354
24-02-1981,-7.9,-19.4,-13.8,0,0,0,23.7,49,325
25-02-1981,-14.9,-21.1,-17.4,0,0,0,24.6,46.8,314
26-02-1981,-11.5,-19.8,-15.9,0,0,0,17.9,34.6,252
27-02-1981,-3.1,-15.9,-8.2,0,0,0,16.1,31.7,198
28-02-1981,1.5,-13.3,-5.6,0,0,0,21,37.8,292
01-03-1981,1,-10.6,-4,0,0,0,24.1,42.8,194
02-03-1981,7.1,-2.8,0.9,0,0,0,24.7,49.7,202
